20251020-22:06.54-495823(us) 276187 * ParseOldFormat  (configuration.cc:66): Using old configuration format
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:81] 2025-11-20 22:06:54.502 | PWD : /home/anshtyagi.linux/mako_ansh/mako-project
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:276] 2025-11-20 22:06:54.502 | starting process 276187
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/config.cc:290] 2025-11-20 22:06:54.502 | LoadYML: config/1leader_2followers/paxos4_shardidx0.yml
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/config.cc:290] 2025-11-20 22:06:54.504 | LoadYML: config/occ_paxos.yml
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:285] 2025-11-20 22:06:54.504 | server_infos, number of sites: 4, proc_name: p1
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:291] 2025-11-20 22:06:54.544 | parition id of each Paxos group is 3, site-name: s204, site-id: 13
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:291] 2025-11-20 22:06:54.582 | parition id of each Paxos group is 2, site-name: s203, site-id: 9
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:291] 2025-11-20 22:06:54.621 | parition id of each Paxos group is 1, site-name: s202, site-id: 5
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:291] 2025-11-20 22:06:54.659 | parition id of each Paxos group is 0, site-name: s201, site-id: 1
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:297] 2025-11-20 22:06:54.659 | running machine-id: 1
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:91] 2025-11-20 22:06:54.660 | launching site: 1, bind address 0.0.0.0:7101
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:91] 2025-11-20 22:06:54.660 | launching site: 5, bind address 0.0.0.0:7102
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:91] 2025-11-20 22:06:54.660 | launching site: 9, bind address 0.0.0.0:7103
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:106] 2025-11-20 22:06:54.661 | waiting for server setup threads.
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_main_helper.cc:91] 2025-11-20 22:06:54.661 | launching site: d, bind address 0.0.0.0:7104
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_worker.cc:192] 2025-11-20 22:06:54.662 | [service]loc_id: 1, name: s201, proc: p1, id: 1
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_worker.cc:192] 2025-11-20 22:06:54.664 | [service]loc_id: 1, name: s202, proc: p1, id: 5
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_worker.cc:192] 2025-11-20 22:06:54.664 | [service]loc_id: 1, name: s203, proc: p1, id: 9
starting server at 0.0.0.0:7101
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_worker.cc:215] 2025-11-20 22:06:54.665 | Server s201 ready at 0.0.0.0:7101
starting server at 0.0.0.0:7102
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:14] 2025-11-20 22:06:54.666 | setup paxos communicator
starting server at 0.0.0.0:7103
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_worker.cc:192] 2025-11-20 22:06:54.666 | [service]loc_id: 1, name: s204, proc: p1, id: 13
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.666 | connect to site: 127.0.0.1:7001 (attempt 0)
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_worker.cc:215] 2025-11-20 22:06:54.667 | Server s202 ready at 0.0.0.0:7102
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_worker.cc:215] 2025-11-20 22:06:54.667 | Server s203 ready at 0.0.0.0:7103
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:14] 2025-11-20 22:06:54.667 | setup paxos communicator
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.667 | connect to site: 127.0.0.1:7001 (attempt 0)
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:14] 2025-11-20 22:06:54.667 | setup paxos communicator
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.667 | connect to site: 127.0.0.1:7101 (attempt 0)
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.667 | connect to site: 127.0.0.1:7001 (attempt 0)
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.668 | connect to site: 127.0.0.1:7101 (attempt 0)
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.668 | connect to site: 127.0.0.1:7101 (attempt 0)
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.668 | connect to site: 127.0.0.1:7201 (attempt 0)
starting server at I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.668 | connect to site: 127.0.0.1:7201 (attempt 0)
0.0.0.0:7104
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.668 | connect to site: 127.0.0.1:7201 (attempt 0)
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.668 | connect to site: 127.0.0.1:7301 (attempt 0)
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/paxos_worker.cc:215] 2025-11-20 22:06:54.670 | Server s204 ready at 0.0.0.0:7104
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:14] 2025-11-20 22:06:54.670 | setup paxos communicator
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.668 | connect to site: 127.0.0.1:7301 (attempt 0)
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.670 | connect to site: 127.0.0.1:7001 (attempt 0)
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.670 | connect to site: 127.0.0.1:7301 (attempt 0)
E [/home/anshtyagi.linux/mako_ansh/mako-project/src/rrr/rpc/client.cpp:179] 2025-11-20 22:06:54.670 | rrr::Client: connect(127.0.0.1:7301): Connection refused
E [/home/anshtyagi.linux/mako_ansh/mako-project/src/rrr/rpc/client.cpp:179] 2025-11-20 22:06:54.670 | rrr::Client: connect(127.0.0.1:7301): Connection refused
I [/home/anshtyagi.linux/mako_ansh/mako-project/src/deptran/communicator.cc:174] 2025-11-20 22:06:54.670 | connect to site: 127.0.0.1:7101 (attempt 0)
